period,region,employment_rate_pct,unemployment_rate_pct,inactivity_rate_pct,latitude,longitude
2025 Q1,North East,68.0,5.1,28.4,54.97,-1.60
2025 Q1,North West,74.0,4.1,22.8,54.20,-2.70
2025 Q1,Yorkshire and The Humber,72.2,4.9,24.0,53.70,-1.20
2025 Q1,East Midlands,75.0,4.2,21.7,52.90,-1.10
2025 Q1,West Midlands,72.7,4.5,23.8,52.50,-1.90
2025 Q1,East of England,78.4,4.5,17.8,52.30,0.40
2025 Q1,London,74.2,6.2,20.7,51.51,-0.13
2025 Q1,South East,78.7,4.1,17.8,51.30,-0.70
2025 Q1,South West,79.9,3.5,17.3,50.90,-3.20
2025 Q1,Wales,71.3,5.2,24.7,52.30,-3.80
2025 Q1,Scotland,74.5,4.3,22.0,56.00,-4.20
2025 Q1,Northern Ireland,71.6,1.6,27.2,54.70,-6.70
2026 Q2,North East,71.1,5.4,25.1,54.97,-1.60
2026 Q2,North West,74.4,5.0,21.6,54.20,-2.70
2026 Q2,Yorkshire and The Humber,72.7,5.8,22.7,53.70,-1.20
2026 Q2,East Midlands,75.0,5.5,20.5,52.90,-1.10
2026 Q2,West Midlands,73.3,5.3,22.5,52.50,-1.90
2026 Q2,East of England,78.2,4.2,18.3,52.30,0.40
2026 Q2,London,74.2,6.6,20.3,51.51,-0.13
2026 Q2,South East,78.2,3.8,18.6,51.30,-0.70
2026 Q2,South West,77.8,4.4,18.6,50.90,-3.20
2026 Q2,Wales,72.3,3.8,24.8,52.30,-3.80
2026 Q2,Scotland,74.3,4.3,22.2,56.00,-4.20
2026 Q2,Northern Ireland,71.9,1.7,26.8,54.70,-6.70
